Title,Studio,Country code,UPC,EAN,Release date,Slipcover,Casing,Memorabilia,Blu-ray discs,DVD discs,Digital copy,Date added,Watched,Comment,Retailer,Price,Price comment
"Children of the Corn II: The Final Sacrifice","88 Films",UK,,5060103796915,February 27 2017,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Children of the Corn III: Urban Harvest","88 Films",UK,,5060103796922,March 27 2017,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Children Shouldn't Play with Dead Things","VCI",US,089859902727,0089859902727,February 23 2016,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Chinatown","Paramount Pictures",AU,,9317731135217,August 16 2017,0,Standard Blu-ray case,1,1,0,0,,0,,,,
"Christine 4K","Universal Sony Pictures Home Entertainment",AU,,9317731145209,October 17 2018,0,Standard Blu-ray case,0,2,0,1,,0,,,,
"Christmas Evil","Glass Doll Films",AU,,9341005006569,December 9 2015,0,Standard Blu-ray case,0,1,0,0,April 25 2018,0,,,,
"Citizen Toxie: The Toxic Avenger IV","Troma",AU,,9341005008228,May 17 2017,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The City of the Dead","Arrow",UK,,5027035016283,April 24 2017,0,Standard Blu-ray case,0,1,1,0,,0,,,,
"City of the Living Dead","Arrow",UK,,5027035020808,June 10 2019,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Class of 1984","Glass Doll Films",AU,,9341005007115,April 20 2016,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Class of Nuke 'Em High","Troma",AU,,9341005008235,May 17 2017,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Class of Nuke 'Em High 2: Subhumanoid Meltdown","Troma",AU,,9341005008242,May 17 2017,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Class of Nuke 'Em High 3: The Good, the Bad and the Subhumanoid","Troma",AU,,9341005008419,August 23 2017,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"A Clockwork Orange","Warner Bros.",AU,,9325336037676,April 9 2008,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"A Clockwork Orange 4K","Warner Bros.",AU,,9398700051776,September 22 2021,0,Standard Blu-ray case,0,2,0,0,,0,,,,
"Cobra","Warner Bros.",AU,,9325336128381,October 26 2011,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Coffy","Arrow",UK,,5027035012438,April 20 2015,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"Cohen & Tate","Arrow",UK,,5027035015675,December 5 2016,0,Standard Blu-ray case,0,1,1,0,,0,,,,
"Cold Blooded Beast","88 Films",UK,,5060103798841,July 24 2017,1,Standard Blu-ray case,0,1,0,0,,0,,,,
"Come Back to the 5 & Dime, Jimmy Dean, Jimmy Dean","Olive Films",US,887090081405,0887090081405,November 18 2014,0,Standard Blu-ray case,0,1,0,0,,0,,,,
"The Comedy of Terrors","Arrow",UK,,5027035012094,February 16 2015,0,Standard Blu-ray case,0,1,1,0,,0,,,,
"The Comic","Arrow",UK,,5027035022147,August 31 2020,0,Standard Blu-ray case,0,1,0,0,,0,,,,
